mart_name,category_ko,category_es,product_name_display,brand_or_style,price_eur,price_type,price_note,listing_type,source_label,source_url,stock_confidence
Mercado de la Paz,하몽,jamon,Paleta ibérica de bellota,Álvarez Selección charcutería,13.9,estimated_inferred,100g 안팎 추정가,market_stall_curated,José Álvarez Charcutería at Mercado de la Paz,https://www.mercadodelapaz.com/portfolio/39-jose-alvarez-charcuteria/,medium
Mercado de la Paz,하몽,jamon,Jamón serrano reserva,Álvarez Selección charcutería,8.9,estimated_inferred,팩 기준 추정가,market_stall_curated,José Álvarez Charcutería at Mercado de la Paz,https://www.mercadodelapaz.com/portfolio/39-jose-alvarez-charcuteria/,medium
Mercado de la Paz,치즈,queso,Queso manchego artesano curado,Álvarez Selección artisan cheese,8.5,estimated_inferred,조각 기준 추정가,market_stall_curated,José Álvarez Charcutería at Mercado de la Paz,https://www.mercadodelapaz.com/portfolio/39-jose-alvarez-charcuteria/,medium
Mercado de la Paz,치즈,queso,Queso de oveja curado,Álvarez Selección artisan cheese,7.9,estimated_inferred,조각 기준 추정가,market_stall_curated,José Álvarez Charcutería at Mercado de la Paz,https://www.mercadodelapaz.com/portfolio/39-jose-alvarez-charcuteria/,medium
Mercado de la Paz,치즈,queso,Surtido de quesos artesanos,Charcutería and gourmet counter,12.5,estimated_inferred,소포장 기준 추정가,market_stall_curated,José Álvarez Charcutería at Mercado de la Paz,https://www.mercadodelapaz.com/portfolio/39-jose-alvarez-charcuteria/,medium
Mercado de la Paz,올리브오일,aceite_de_oliva,Aceite de oliva virgen extra variedad picual,Tierra or José Álvarez gourmet oil,9.9,estimated_inferred,500ml 안팎 추정가,market_stall_curated,Tierra Vinoteca and José Álvarez at Mercado de la Paz,https://www.mercadodelapaz.com/portfolio/37-tierra-vinoteca/,medium
Mercado de la Paz,올리브오일,aceite_de_oliva,Aceite de oliva virgen extra variedad arbequina,Tierra or José Álvarez gourmet oil,10.5,estimated_inferred,500ml 안팎 추정가,market_stall_curated,Tierra Vinoteca and José Álvarez at Mercado de la Paz,https://www.mercadodelapaz.com/portfolio/37-tierra-vinoteca/,medium
Mercado de la Paz,올리브오일,aceite_de_oliva,Aceite de oliva virgen extra selección gourmet,Specialty pantry selection,11.9,estimated_inferred,500ml 안팎 추정가,market_stall_curated,Tierra Vinoteca and José Álvarez at Mercado de la Paz,https://www.mercadodelapaz.com/portfolio/37-tierra-vinoteca/,medium
Sánchez Romero,하몽,jamon,Jamón ibérico de bellota selección gourmet,Premium charcutería selection,19.9,estimated_inferred,100g 안팎 추정가,store_profile_curated,Sánchez Romero Productos Frescos and Gourmet,https://sanchez-romero.com/productos-frescos/,medium
Sánchez Romero,하몽,jamon,Paleta ibérica selección gourmet,Premium charcutería selection,14.9,estimated_inferred,100g 안팎 추정가,store_profile_curated,Sánchez Romero Productos Frescos and Gourmet,https://sanchez-romero.com/productos-frescos/,medium
Sánchez Romero,하몽,jamon,Jamón de cebo ibérico loncheado premium,Premium charcutería selection,8.9,estimated_inferred,팩 기준 추정가,store_profile_curated,Sánchez Romero Productos Frescos and Gourmet,https://sanchez-romero.com/productos-frescos/,medium
Sánchez Romero,치즈,queso,Queso manchego artesano curado,Premium national cheese selection,9.5,estimated_inferred,조각 기준 추정가,store_profile_curated,Sánchez Romero Quesos section,https://sanchez-romero.com/productos-frescos/,medium
Sánchez Romero,치즈,queso,Queso de oveja trufado,Premium national cheese selection,11.9,estimated_inferred,조각 기준 추정가,store_profile_curated,Sánchez Romero Quesos section,https://sanchez-romero.com/productos-frescos/,medium
Sánchez Romero,치즈,queso,Queso de cabra afinado,Premium national and international cheese selection,8.9,estimated_inferred,조각 기준 추정가,store_profile_curated,Sánchez Romero Quesos section,https://sanchez-romero.com/productos-frescos/,medium
Sánchez Romero,올리브오일,aceite_de_oliva,Aceite de oliva virgen extra premium selección,Despensa premium first brands,11.9,estimated_inferred,500ml 안팎 추정가,store_profile_curated,Sánchez Romero Despensa and Gourmet,https://sanchez-romero.com/despensa/,medium
Sánchez Romero,올리브오일,aceite_de_oliva,Aceite de oliva virgen extra arbequina selección gourmet,Despensa premium first brands,12.9,estimated_inferred,500ml 안팎 추정가,store_profile_curated,Sánchez Romero Despensa and Gourmet,https://sanchez-romero.com/despensa/,medium
Sánchez Romero,올리브오일,aceite_de_oliva,Aceite de oliva virgen extra picual selección gourmet,Despensa premium first brands,12.5,estimated_inferred,500ml 안팎 추정가,store_profile_curated,Sánchez Romero Despensa and Gourmet,https://sanchez-romero.com/despensa/,medium
Mercadona,하몽,jamon,Jamón bellota ibérico cortado a tapas,Hacendado and Iberico line,12.15,exact_catalog,팩 기준,exact_catalog,mercadona_products exact product URL,https://tienda.mercadona.es/product/58280/jamon-bellota-iberico-cortado-cuchillo-envasado-vacio-paquete,high
Mercadona,하몽,jamon,Jamón bellota ibérico 100% cortado a tapas,Covap and Iberico line,14.4,exact_catalog,팩 기준,exact_catalog,mercadona_products exact product URL,https://tienda.mercadona.es/product/58298/jamon-bellota-iberico-100-cortado-cuchillo-envasado-vacio-paquete,high
Mercadona,하몽,jamon,Jamón serrano reserva cortado a tapas,Incarlopsa or reserve sliced ham,3.51,exact_catalog,팩 기준,exact_catalog,mercadona_products exact product URL,https://tienda.mercadona.es/product/58274/jamon-serrano-reserva-cortado-cuchillo-envasado-vacio-paquete,high
Mercadona,치즈,queso,Queso curado DOP manchego de oveja Hacendado,Hacendado sheep cheese,7.76,exact_catalog,조각 기준,exact_catalog,mercadona_products exact product URL,https://tienda.mercadona.es/product/50589/queso-curado-dop-manchego-oveja-hacendado-pieza,high
Mercadona,치즈,queso,Queso añejo de oveja al romero Hacendado,Hacendado sheep cheese,4.97,exact_catalog,조각 기준,exact_catalog,mercadona_products exact product URL,https://tienda.mercadona.es/product/50959/queso-anejo-oveja-romero-hacendado-pieza,high
Mercadona,치즈,queso,Queso semicurado de cabra Hacendado,Hacendado goat cheese,5.68,exact_catalog,조각 기준,exact_catalog,mercadona_products exact product URL,https://tienda.mercadona.es/product/50942/queso-semicurado-cabra-hacendado-pieza,high
Mercadona,올리브오일,aceite_de_oliva,Aceite de oliva virgen extra Hacendado 1L,Hacendado AOVE,6.35,exact_catalog,1L 기준,exact_catalog,mercadona_products exact product URL,https://tienda.mercadona.es/product/4740/aceite-oliva-virgen-extra-hacendado-botella,high
Mercadona,올리브오일,aceite_de_oliva,Aceite de oliva virgen extra Hacendado Gran Selección 750ml,Hacendado AOVE Gran Selección,7.09,exact_catalog,750ml 기준,exact_catalog,mercadona_products exact product URL,https://tienda.mercadona.es/product/4706/aceite-oliva-virgen-extra-hacendado-gran-seleccion-botella,high
Mercadona,올리브오일,aceite_de_oliva,Aceite de oliva virgen extra Picual Casa Juncal 500ml,Casa Juncal Picual,6.07,exact_catalog,500ml 기준,exact_catalog,mercadona_products exact product URL,https://tienda.mercadona.es/product/4850/aceite-oliva-virgen-extra-picual-casa-juncal-botella,high
Carrefour Express,하몽,jamon,Jamón de cebo Ibérico en lonchas Carrefour 100 g,Packaged sliced ham,4.45,proxy_catalog,100g 기준,proxy_catalog,Carrefour ES catalog proxy for packaged assortment,dataset://thegurus-opendata-carrefour-es-products.csv,medium
Carrefour Express,하몽,jamon,Jamón Ibérico en lonchas Azuaga 100 g,Packaged sliced ham,6.35,proxy_catalog,100g 기준,proxy_catalog,Carrefour ES catalog proxy for packaged assortment,dataset://thegurus-opendata-carrefour-es-products.csv,medium
Carrefour Express,하몽,jamon,Jamón serrano reserva finas lonchas Carrefour 120 g,Packaged sliced ham,2.07,proxy_catalog,120g 기준,proxy_catalog,Carrefour ES catalog proxy for packaged assortment,dataset://thegurus-opendata-carrefour-es-products.csv,medium
Carrefour Express,치즈,queso,Queso manchego de oveja curado DOP De Nuestra Tierra al corte,Packaged or deli cheese,3.58,proxy_catalog,200g 안팎 기준,proxy_catalog,Carrefour ES catalog proxy for packaged assortment,dataset://thegurus-opendata-carrefour-es-products.csv,medium
Carrefour Express,치즈,queso,Queso semicurado mezcla Carrefour cuña 1/8,Packaged cheese wedge,3.47,proxy_catalog,375g 안팎 기준,proxy_catalog,Carrefour ES catalog proxy for packaged assortment,dataset://thegurus-opendata-carrefour-es-products.csv,medium
Carrefour Express,치즈,queso,Queso rulo de cabra President al corte 200 g,Goat cheese log,3.88,proxy_catalog,200g 기준,proxy_catalog,Carrefour ES catalog proxy for packaged assortment,dataset://thegurus-opendata-carrefour-es-products.csv,medium
Carrefour Express,올리브오일,aceite_de_oliva,Aceite de oliva virgen extra Carrefour 1 l,House brand AOVE,3.45,proxy_catalog,1L 기준,proxy_catalog,Carrefour ES catalog proxy for packaged assortment,dataset://thegurus-opendata-carrefour-es-products.csv,medium
Carrefour Express,올리브오일,aceite_de_oliva,Aceite de oliva virgen extra arbequina Coosur 1 l,Branded AOVE,4.86,proxy_catalog,1L 기준,proxy_catalog,Carrefour ES catalog proxy for packaged assortment,dataset://thegurus-opendata-carrefour-es-products.csv,medium
Carrefour Express,올리브오일,aceite_de_oliva,Aceite de oliva virgen extra Hojiblanca 1 l,Branded AOVE,4.89,proxy_catalog,1L 기준,proxy_catalog,Carrefour ES catalog proxy for packaged assortment,dataset://thegurus-opendata-carrefour-es-products.csv,medium
